id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
lpsh0,lpsh0,1.0,1,1,1,1,1,1,1,1,1,1
lpsh1,lpsh1,1.0,0,0,0,3,3,2,3,2,3,2
lpsh2,lpsh2,1.0,3,1,1,1,1/5,1,4,1,1/5,1
lpsh3,lpsh3,1.0,1,4,4,4/6,4,0,4,3,4,0
lpsnh0,lpsnh0,1.0,1,1,1,1/3,1,1,1,1,1/4,1
lpsnh1,lpsnh1,1.0,1,5,1,7,7,3,7,3,7,3
lpsnh2,lpsnh2,1.0,1,1/2,1,7,7,1,7,1,7,1
lpsnh3,lpsnh3,1.0,1,1/6,1,1,1/7,3,1,1,1/7,3
lpsnh4,lpsnh4,1.0,1,1,1,1,1,1/2,1,1,1,1/2
lpsnh5,lpsnh5,1.0,1,1,1,1,1,7,1,3,1/8,7
lpsnh6,lpsnh6,1.0,1,3,1,7,5,1,5,1,5,1
lpsnh7,lpsnh7,1.0,1,1,1,4,1,1,1,1,1,1
lpsnh8,lpsnh8,1.0,1,1,2,13,13,1,13,1,13,1
lpsnh9,lpsnh9,1.0,1,1,1,1,1,3,1,4,1,3
lpsnh10,lpsnh10,1.0,1,1,1,1,1/13,7,1,7,1/12,7
lpsnh11,lpsnh11,1.0,1,1/6,6,6/7,7/8,1,6,3,7,1
lpsnh12,lpsnh12,1.0,1,1,1,1/4/5,5,2,1/6,2,5,2
lpsnh13,lpsnh13,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh14,lpsnh14,1.0,1,2,1,1,1,1,1,1,1,1
lpsnh15,lpsnh15,1.0,1,3,1,1,1,1,1,1,1,1/2
lpsnh16,lpsnh16,1.0,1,1,1,1,1,1,1,1/3,1,1
lpsnh17,lpsnh17,1.0,1,1,1,1,1,3,1,3,1,3
lpsnh18,lpsnh18,1.0,1,1,1,1,1,1,4,1,1/5,1
lpsnh19,lpsnh19,1.0,1,1,1,1,1,2,1,2,1,2
lpsnh20,lpsnh20,1.0,1,1,1,5,5,1/2,5,1,5,1
lpsnh21,lpsnh21,1.0,1,1,1,1,1,1,1,1,1/3,1
lpsnh22,lpsnh22,1.0,1,1,1,3,3,1,3,2,3,1
lpsnh23,lpsnh23,1.0,1/2,2,2,2,2,1,1,1,1/2,1
lpsnh24,lpsnh24,1.0,1,1,1,1,1/3,1,1,1,1,1
lpsnh25,lpsnh25,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh26,lpsnh26,1.0,1,1,1,1,1,2,1,2,6,2
lpsnh27,lpsnh27,1.0,1,1,1,1,1,2,1,2,1,2
lpsnh28,lpsnh28,1.0,1,1,1,1,1,3,1,1/4,6,3
lpmh0,lpmh0,1.0,1,1,1,11,1,10,1,10,1,10
lpmh1,lpmh1,1.0,1,1,1,1,1,1,1,1,4,1
lpmh2,lpmh2,1.0,3,1,1,1,1,1,1/4,2,0/1,1
lpmh3,lpmh3,1.0,1,1,1,1,1/13,2,13,7,13,2
lpmh4,lpmh4,1.0,1,1,1,1,1,1,1,1,1,1
lpmnh0,lpmnh0,1.0,1,1,6,1,1,4,1/7,2,1,4
lpmnh1,lpmnh1,1.0,1,1,1,1,1,1,1,3,1/6,1
lpmnh2,lpmnh2,1.0,1,1,1/4,1,1/5,3,5,1,1,3
lpmnh3,lpmnh3,1.0,1,7,7,7,7,1/3,7,1,7,1
lpmnh4,lpmnh4,1.0,1,1,1,4,4,1,4/5,2,4,1
lpmnh5,lpmnh5,1.0,1,6,1/5,7,7,2,7,4,7,2
lpmnh6,lpmnh6,1.0,1,1,1,1,1/6,1,1/6,3,1/6,1/2
lpmnh7,lpmnh7,1.0,1,1,1,22,21,2,21,20,21,2
lpmnh8,lpmnh8,1.0,1,1,1,17,1,8,15,13,1,7/8
lpmnh9,lpmnh9,1.0,1,1/2,1,3/4/5,4,1,4,1,4,1
lpmnh10,lpmnh10,1.0,1,1,1,1,1,1,1,1/4,1,1
lpmnh11,lpmnh11,1.0,4,1,1,6,6,1,6,1,6,1
lpmnh12,lpmnh12,1.0,5,1,1,6,6,1,6,3/4,6,1
lpmnh13,lpmnh13,1.0,1,1,1,1/6,1,1/2,1,1,1,1/2
lpmnh14,lpmnh14,1.0,1/5,5,5,1,6,2,6,1,6,2
lpmnh15,lpmnh15,1.0,1,1,1,1,1,3,1,10,1,1
lpmnh16,lpmnh16,1.0,1/4,1,1,5,5,1,6,2,5,1
lpmnh17,lpmnh17,1.0,1,1,1,1,1,2,1,2/4,1,2
lpmnh18,lpmnh18,1.0,1,1,1,1,1,1/3/4,1,1/5,6,1
lpmnh19,lpmnh19,1.0,1,1,1,1,1/9,3,7,2,1,3
