id,feature,weight,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10
mh0,mh0,50.0,0,1,1,1,1,0,1,7,9,10
mh1,mh1,50.0,0,0,0,0,0,0,0,0,0,2
mh2,mh2,50.0,4,0,4,4,0,4,0,0,4,4
mh3,mh3,50.0,0,0,0,0,1,0,4,1,8,0
mh4,mh4,50.0,1,1,1,1,1,1,1,1,1,1
mnh0,mnh0,50.0,10,1,11,11,2,10,2,8,10,10
mnh1,mnh1,50.0,1,1,1,1,1,1,1,1,1,1
mnh2,mnh2,50.0,2,1,2,2,1,2,1,1,2,2
mnh3,mnh3,50.0,1,1,1,1,1,1,1,1,3,1
mnh4,mnh4,50.0,1,1,1,1,1,5,1,1,7,1
mnh5,mnh5,50.0,9,1,1,7,3,1,3,4,1,1
mnh6,mnh6,50.0,1,1,1,1,2,1,1,1,4,1
mnh7,mnh7,50.0,1,1,1,1,1,1,5,2,1,1
mnh8,mnh8,50.0,4,4,4,4,2,4,3,3,4,4
mnh9,mnh9,50.0,1,1,1,1,1,1,1,1,1,4
mnh10,mnh10,50.0,1,1,1,1,1,1,1,1,1,1
mnh11,mnh11,50.0,1,1,1,1,1,1,2,2,1,1
mnh12,mnh12,50.0,10,1,1,8,1,9,6,1,9,1
mnh13,mnh13,50.0,1,1,1,1,1,1,1,4,1,1
mnh14,mnh14,50.0,1,1,1,1,5,1,1,3,8,1
lpsh0,lpsh0,1.0,5,1,1,1,3,1,3,3,1,1
lpsh1,lpsh1,1.0,3,1,1,1,2,1,2,2,1,1
lpsh2,lpsh2,1.0,3,1,1/2,1/2,1,3,1,1,3,3
lpsh3,lpsh3,1.0,1,1,1,1,1,1,1,1,1,1
lpsh4,lpsh4,1.0,1,1,1,1,1,1,1,1,1,1
lpsh5,lpsh5,1.0,0,1,0,0,1/2,0,1,1,0,0
lpsnh0,lpsnh0,1.0,1,1,1,1,1/2,1,1,1,1,3
lpsnh1,lpsnh1,1.0,6,1,6,6,4,6,3,1,6,6/8
lpsnh2,lpsnh2,1.0,3,1,1,1,1,1,1,1/2,1,1
lpsnh3,lpsnh3,1.0,1,1,1,1,1,1,1,1,1,1
lpsnh4,lpsnh4,1.0,1/6,1,1,1,4,1/6,1,1,1/6,1/6
lpsnh5,lpsnh5,1.0,4,1,1,1,1,5,1,2,4,4
lpsnh6,lpsnh6,1.0,1,1,1,1,1,1,1/2,1,1,1
lpsnh7,lpsnh7,1.0,9,1,9,9,1,9,1,6,11,9
lpsnh8,lpsnh8,1.0,1,1,1,1,1,1,1,1,1/2,1
lpsnh9,lpsnh9,1.0,1/9,1,1/7,7,6,1/8,5,1,1,1
lpsnh10,lpsnh10,1.0,1,1,1,1,1/4,1/5,1,1,1,1
lpsnh11,lpsnh11,1.0,1,1,1/3,1/3/4,1,1,1,1,1,1
lpsnh12,lpsnh12,1.0,1,1,8,8,1/7,1,5,6,1,1
lpsnh13,lpsnh13,1.0,6,1,1,1,1,1,5,1,6/7,1
